時間戳記	lux1	lux2	led	dilution factor
2020/4/21 上午 9:49:06	2863.85	4654.79	63	1.5^8X
2020/4/21 上午 9:49:07	2905.08	4697.01	63	1.5^8X
2020/4/21 上午 9:49:08	2913.03	4732.26	63	1.5^8X
2020/4/21 上午 9:49:09	2915.5	4727.82	63	1.5^8X
2020/4/21 上午 9:49:10	2917.03	4745.69	64	1.5^8X
2020/4/21 上午 9:49:11	2956.28	4804.8	64	1.5^8X
2020/4/21 上午 9:49:12	2956.28	4812.25	65	1.5^8X
2020/4/21 上午 9:49:13	3010.4	4883.74	65	1.5^8X
2020/4/21 上午 9:49:14	3009.91	4882.76	66	1.5^8X
2020/4/21 上午 9:49:15	3054.14	4947.83	66	1.5^8X
2020/4/21 上午 9:49:16	3045.7	4936.92	66	1.5^8X
2020/4/21 上午 9:49:17	3054.14	4959.29	67	1.5^8X
2020/4/21 上午 9:49:18	3095.37	5034.29	68	1.5^8X
2020/4/21 上午 9:49:19	3112.75	5046.19	68	1.5^8X
2020/4/21 上午 9:49:20	3149.54	5098.82	68	1.5^8X
2020/4/21 上午 9:49:21	3149.54	5081.94	68	1.5^8X
2020/4/21 上午 9:49:22	3141.09	5109.29	69	1.5^8X
2020/4/21 上午 9:49:23	3153	5174.32	70	1.5^8X
2020/4/21 上午 9:49:24	3215.6	5186.27	70	1.5^8X
2020/4/21 上午 9:49:25	3237.48	5251.84	71	1.5^8X
2020/4/21 上午 9:49:26	3286.16	5334.73	71	1.5^8X
2020/4/21 上午 9:49:27	3282.7	5321.36	71	1.5^8X
2020/4/21 上午 9:49:28	3279.74	5335.77	72	1.5^8X
2020/4/21 上午 9:49:29	3326.4	5410.72	73	1.5^8X
2020/4/21 上午 9:49:29	3326.4	5410.72	73	1.5^8X
2020/4/21 上午 9:49:30	3349.26	5442.03	73	1.5^8X
2020/4/21 上午 9:49:31	3381.55	5481.28	73	1.5^8X
2020/4/21 上午 9:49:32	3365.7	5467.85	74	1.5^8X
2020/4/21 上午 9:49:33	3397.45	5523	74	1.5^8X
2020/4/21 上午 9:49:34	3422.83	5563.74	75	1.5^8X
2020/4/21 上午 9:49:35	3467.51	5628.81	76	1.5^8X
2020/4/21 上午 9:49:36	3512.25	5676.95	76	1.5^8X
2020/4/21 上午 9:49:37	3515.7	5715.22	76	1.5^8X
2020/4/21 上午 9:49:38	3512.25	5718.18	77	1.5^8X
2020/4/21 上午 9:49:39	3537.08	5710.72	77	1.5^8X
2020/4/21 上午 9:49:40	3558.46	5780.29	78	1.5^8X
2020/4/21 上午 9:49:41	3611.59	5859.24	79	1.5^8X
2020/4/21 上午 9:49:42	3610.6	5868.18	79	1.5^8X
2020/4/21 上午 9:49:43	3654.84	5942.69	79	1.5^8X
2020/4/21 上午 9:49:44	3655.83	5920.87	79	1.5^8X
2020/4/21 上午 9:49:45	3654.84	5931.78	79	1.5^8X
2020/4/21 上午 9:49:46	3654.35	5944.17	80	1.5^8X
2020/4/21 上午 9:49:47	3675.73	5973	80	1.5^8X
2020/4/21 上午 9:49:48	3705.01	6008.26	81	1.5^8X
2020/4/21 上午 9:49:49	3723.42	6032.6	81	1.5^8X
2020/4/21 上午 9:49:50	3743.77	6082.27	81	1.5^8X
2020/4/21 上午 9:49:51	3753.2	6093.18	81	1.5^8X
2020/4/21 上午 9:49:52	3752.7	6088.25	81	1.5^8X
2020/4/21 上午 9:49:53	3743.77	6068.89	81	1.5^8X
2020/4/21 上午 9:49:54	3743.77	6065.88	81	1.5^8X
2020/4/21 上午 9:49:55	3749.25	6092.19	81	1.5^8X
2020/4/21 上午 9:49:56	3748.26	6091.7	82	1.5^8X
2020/4/21 上午 9:49:57	3768.11	6082.76	83	1.5^8X
2020/4/21 上午 9:49:58	3796.45	6161.22	83	1.5^8X
2020/4/21 上午 9:49:59	3836.2	6246.63	84	1.5^8X
2020/4/21 上午 9:50:00	3837.18	6256.61	84	1.5^8X
2020/4/21 上午 9:50:01	3883.4	6305.3	84	1.5^8X
2020/4/21 上午 9:50:02	3891.35	6310.23	85	1.5^8X
2020/4/21 上午 9:50:03	3921.66	6372.29	85	1.5^8X
2020/4/21 上午 9:50:05	3933.07	6420.48	86	1.5^8X
2020/4/21 上午 9:50:06	3977.31	6458.26	86	1.5^8X
2020/4/21 上午 9:50:07	3976.82	6438.91	87	1.5^8X
2020/4/21 上午 9:50:08	4010.59	6485.56	87	1.5^8X
2020/4/21 上午 9:50:09	4030.49	6548.12	88	1.5^8X
2020/4/21 上午 9:50:10	4065.74	6614.67	89	1.5^8X
2020/4/21 上午 9:50:11	4066.24	6610.23	89	1.5^8X
2020/4/21 上午 9:50:12	4120.89	6676.79	89	1.5^8X
2020/4/21 上午 9:50:13	4119.41	6698.61	90	1.5^8X
2020/4/21 上午 9:50:14	4127.85	6727.94	90	1.5^8X
2020/4/21 上午 9:50:15	4164.1	6767.2	91	1.5^8X
2020/4/21 上午 9:50:16	4207.84	6840.72	91	1.5^8X
2020/4/21 上午 9:50:17	4206.85	6844.17	91	1.5^8X
2020/4/21 上午 9:50:18	4215.3	6847.62	92	1.5^8X
2020/4/21 上午 9:50:19	4261.02	6925.64	93	1.5^8X
2020/4/21 上午 9:50:20	4264.97	6920.65	93	1.5^8X
2020/4/21 上午 9:50:21	4297.76	6991.7	94	1.5^8X
2020/4/21 上午 9:50:22	4352.41	7074.6	94	1.5^8X
2020/4/21 上午 9:50:23	4351.43	7054.75	94	1.5^8X
2020/4/21 上午 9:50:24	4348.96	7076.63	95	1.5^8X
2020/4/21 上午 9:50:25	4364.36	7130.74	96	1.5^8X
2020/4/21 上午 9:50:26	4401.59	7140.72	96	1.5^8X
2020/4/21 上午 9:50:27	4435.91	7222.63	96	1.5^8X
2020/4/21 上午 9:50:28	4436.89	7231.07	96	1.5^8X
2020/4/21 上午 9:50:29	4445.83	7225.15	97	1.5^8X
2020/4/21 上午 9:50:30	4490.07	7285.24	98	1.5^8X
2020/4/21 上午 9:50:31	4484.59	7293.19	98	1.5^8X
2020/4/21 上午 9:50:32	4531.79	7374.16	99	1.5^8X
2020/4/21 上午 9:50:33	4532.78	7379.59	99	1.5^8X
2020/4/21 上午 9:50:34	4577.02	7453.6	99	1.5^8X
2020/4/21 上午 9:50:35	4574.5	7427.29	100	1.5^8X
2020/4/21 上午 9:50:37	4584.97	7449.11	100	1.5^8X
2020/4/21 上午 9:50:37	4619.73	7532.55	101	1.5^8X
2020/4/21 上午 9:50:38	4620.72	7563.86	101	1.5^8X
2020/4/21 上午 9:50:39	4675.87	7591.21	102	1.5^8X
2020/4/21 上午 9:50:40	4719.61	7672.63	103	1.5^8X
2020/4/21 上午 9:50:41	4730.53	7688.53	103	1.5^8X
2020/4/21 上午 9:50:42	4766.32	7761.06	104	1.5^8X
2020/4/21 上午 9:50:43	4768.79	7785.9	104	1.5^8X
2020/4/21 上午 9:50:45	4805.58	7817.2	104	1.5^8X
2020/4/21 上午 9:50:45	4816.98	7831.13	105	1.5^8X
2020/4/21 上午 9:50:46	4816.49	7835.08	105	1.5^8X
2020/4/21 上午 9:50:48	4852.78	7911.61	106	1.5^8X
2020/4/21 上午 9:50:49	4900.47	7972.69	107	1.5^8X
2020/4/21 上午 9:50:49	4918.84	7986.56	107	1.5^8X
2020/4/21 上午 9:50:50	4948.17	8069.01	107	1.5^8X
2020/4/21 上午 9:50:52	4941.21	8042.7	107	1.5^8X
2020/4/21 上午 9:50:53	4953.6	8050.59	108	1.5^8X
2020/4/21 上午 9:50:54	4969.5	8058.05	109	1.5^8X
2020/4/21 上午 9:50:55	4989.4	8142.48	109	1.5^8X
2020/4/21 上午 9:50:56	5037.1	8218.03	109	1.5^8X
2020/4/21 上午 9:50:57	5039.07	8195.17	109	1.5^8X
2020/4/21 上午 9:50:58	5042.58	8204.1	110	1.5^8X
2020/4/21 上午 9:50:59	5053	8237.38	111	1.5^8X
2020/4/21 上午 9:51:00	5090.77	8291	111	1.5^8X
2020/4/21 上午 9:51:01	5130.02	8369.02	112	1.5^8X
2020/4/21 上午 9:51:02	5128.54	8350.65	112	1.5^8X
2020/4/21 上午 9:51:03	5187.15	8429.6	112	1.5^8X
2020/4/21 上午 9:51:04	5183.15	8433.6	113	1.5^8X
2020/4/21 上午 9:51:05	5189.12	8447.96	113	1.5^8X
2020/4/21 上午 9:51:06	5225.41	8523.46	113	1.5^8X
2020/4/21 上午 9:51:07	5227.39	8503.12	114	1.5^8X
2020/4/21 上午 9:51:08	5225.91	8499.17	114	1.5^8X
2020/4/21 上午 9:51:09	5275.58	8595.5	114	1.5^8X
2020/4/21 上午 9:51:10	5276.57	8576.14	115	1.5^8X
2020/4/21 上午 9:51:11	5269.6	8581.57	116	1.5^8X
2020/4/21 上午 9:51:12	5312.86	8660.03	116	1.5^8X
2020/4/21 上午 9:51:13	5371.96	8747.96	117	1.5^8X
2020/4/21 上午 9:51:14	5371.96	8757.39	117	1.5^8X
2020/4/21 上午 9:51:15	5393.83	8794.18	117	1.5^8X
2020/4/21 上午 9:51:16	5404.74	8808.05	118	1.5^8X
2020/4/21 上午 9:51:17	5460.93	8893.47	119	1.5^8X
2020/4/21 上午 9:51:18	5461.42	8901.42	119	1.5^8X
2020/4/21 上午 9:51:19	5489.72	8948.13	119	1.5^8X
2020/4/21 上午 9:51:20	5501.67	8965.02	120	1.5^8X
2020/4/21 上午 9:51:21	5502.16	8979.93	121	1.5^8X
2020/4/21 上午 9:51:22	5550.84	9045.01	121	1.5^8X
2020/4/21 上午 9:51:23	5598.05	9120.99	122	1.5^8X
2020/4/21 上午 9:51:25	5644.75	9201.91	122	1.5^8X
2020/4/21 上午 9:51:26	5640.76	9206.9	123	1.5^8X
2020/4/21 上午 9:51:27	5640.26	9190.51	124	1.5^8X
2020/4/21 上午 9:51:28	5698.92	9291.39	124	1.5^8X
2020/4/21 上午 9:51:29	5740.15	9357.4	124	1.5^8X
2020/4/21 上午 9:51:30	5716.3	9324.61	125	1.5^8X
2020/4/21 上午 9:51:31	5727.21	9339.52	126	1.5^8X
2020/4/21 上午 9:51:32	5790.81	9417.49	126	1.5^8X
2020/4/21 上午 9:51:33	5831.05	9505.42	127	1.5^8X
2020/4/21 上午 9:51:34	5829.57	9503.89	127	1.5^8X
2020/4/21 上午 9:51:35	5868.82	9567.98	128	1.5^8X
2020/4/21 上午 9:51:36	5872.82	9569.95	128	1.5^8X
2020/4/21 上午 9:51:37	5918	9650.93	129	1.5^8X
2020/4/21 上午 9:51:38	5932.42	9658.88	130	1.5^8X
2020/4/21 上午 9:51:39	5966.73	9746.27	130	1.5^8X
2020/4/21 上午 9:51:40	6002.97	9801.42	130	1.5^8X
2020/4/21 上午 9:51:41	6005.98	9806.91	131	1.5^8X
2020/4/21 上午 9:51:42	6027.81	9805.37	132	1.5^8X
2020/4/21 上午 9:51:43	6062.62	9869.46	132	1.5^8X
2020/4/21 上午 9:51:44	6098.36	9959.37	132	1.5^8X
2020/4/21 上午 9:51:45	6092.39	9945.45	133	1.5^8X
2020/4/21 上午 9:51:46	6095.4	9964.31	134	1.5^8X
2020/4/21 上午 9:51:47	6156.53	10021.98	135	1.5^8X
2020/4/21 上午 9:51:48	6201.21	10108.39	135	1.5^8X
2020/4/21 上午 9:51:49	6235.53	10192.82	135	1.5^8X
2020/4/21 上午 9:51:50	6234	10167.98	136	1.5^8X
2020/4/21 上午 9:51:51	6245.45	10171.93	137	1.5^8X
2020/4/21 上午 9:51:52	6291.17	10254.39	137	1.5^8X
2020/4/21 上午 9:51:53	6328.9	10336.84	137	1.5^8X
2020/4/21 上午 9:51:54	6329.39	10326.92	138	1.5^8X
2020/4/21 上午 9:51:55	6335.36	10323.41	138	1.5^8X
2020/4/21 上午 9:51:56	6380.59	10394.96	139	1.5^8X
2020/4/21 上午 9:51:57	6380.59	10426.26	140	1.5^8X
2020/4/21 上午 9:51:58	6424.34	10485.36	140	1.5^8X
2020/4/21 上午 9:51:59	6471	10554.88	140	1.5^8X
2020/4/21 上午 9:52:00	6471.49	10557.35	141	1.5^8X
2020/4/21 上午 9:52:01	6472.03	10551.92	141	1.5^8X
2020/4/21 上午 9:52:02	6519.68	10637.83	142	1.5^8X
2020/4/21 上午 9:52:03	6512.77	10633.34	142	1.5^8X
2020/4/21 上午 9:52:04	6559.48	10699.46	142	1.5^8X
2020/4/21 上午 9:52:05	6554.49	10710.86	143	1.5^8X
2020/4/21 上午 9:52:06	6567.43	10710.37	143	1.5^8X
2020/4/21 上午 9:52:07	6603.67	10783.89	144	1.5^8X
2020/4/21 上午 9:52:08	6602.68	10785.37	144	1.5^8X
2020/4/21 上午 9:52:09	6661.29	10851.43	145	1.5^8X
2020/4/21 上午 9:52:10	6661.29	10851.43	145	1.5^8X
2020/4/21 上午 9:52:11	6694.12	10910.7	145	1.5^8X
2020/4/21 上午 9:52:13	6695.6	10932.9	146	1.5^8X
2020/4/21 上午 9:52:14	6751.25	11020.29	147	1.5^8X
2020/4/21 上午 9:52:15	6795.98	11088.33	147	1.5^8X
2020/4/21 上午 9:52:16	6784.04	11074.4	147	1.5^8X
2020/4/21 上午 9:52:17	6788.53	11088.82	148	1.5^8X
2020/4/21 上午 9:52:18	6795.44	11098.74	149	1.5^8X
2020/4/21 上午 9:52:19	6840.18	11172.26	149	1.5^8X
2020/4/21 上午 9:52:20	6884.41	11235.37	149	1.5^8X
2020/4/21 上午 9:52:21	6884.91	11237.34	149	1.5^8X
2020/4/21 上午 9:52:22	6884.41	11249.73	150	1.5^8X
2020/4/21 上午 9:52:23	6883.92	11252.2	150	1.5^8X
2020/4/21 上午 9:52:24	6934.09	11311.3	150	1.5^8X
2020/4/21 上午 9:53:37	6935.07	11309.33	150	1.5^9X
2020/4/21 上午 9:53:38	8196.84	10824.62	150	1.5^9X
2020/4/21 上午 9:53:39	4909.98	10826.59	0	1.5^9X
2020/4/21 上午 9:53:40	0	0	0	1.5^9X
2020/4/21 上午 9:53:41	0	0	0	1.5^9X
2020/4/21 上午 9:53:42	0	0	0	1.5^9X
2020/4/21 上午 9:53:43	0	0	0	1.5^9X
2020/4/21 上午 9:54:16	0	0	0	1.5^9X
2020/4/21 上午 9:54:17	0	0	0	1.5^9X
2020/4/21 上午 9:54:18	0	0	1	1.5^9X
2020/4/21 上午 9:54:19	51.15	66.56	1	1.5^9X
2020/4/21 上午 9:54:20	51.15	67.05	1	1.5^9X
2020/4/21 上午 9:54:21	51.15	67.05	2	1.5^9X
2020/4/21 上午 9:54:22	105.32	138.6	2	1.5^9X
2020/4/21 上午 9:54:23	105.32	138.1	2	1.5^9X
2020/4/21 上午 9:54:24	105.32	138.1	2	1.5^9X
2020/4/21 上午 9:54:25	105.32	141.06	3	1.5^9X
2020/4/21 上午 9:54:26	159.98	210.58	4	1.5^9X
2020/4/21 上午 9:54:27	214.63	282.13	4	1.5^9X
2020/4/21 上午 9:54:28	215.13	281.64	5	1.5^9X
2020/4/21 上午 9:54:29	269.29	353.13	5	1.5^9X
2020/4/21 上午 9:54:30	269.29	353.62	5	1.5^9X
2020/4/21 上午 9:54:31	269.29	353.62	5	1.5^9X
2020/4/21 上午 9:54:32	270.28	354.61	5	1.5^9X
2020/4/21 上午 9:54:33	269.29	353.62	6	1.5^9X
2020/4/21 上午 9:54:34	324.4	425.17	6	1.5^9X
2020/4/21 上午 9:54:35	324.4	426.15	7	1.5^9X
2020/4/21 上午 9:54:36	379.05	498.19	7	1.5^9X
2020/4/21 上午 9:54:37	379.55	498.19	7	1.5^9X
2020/4/21 上午 9:54:38	380.04	498.19	8	1.5^9X
2020/4/21 上午 9:54:39	433.71	568.7	9	1.5^9X
2020/4/21 上午 9:54:40	433.71	565.74	9	1.5^9X
2020/4/21 上午 9:54:41	489.85	641.72	10	1.5^9X
2020/4/21 上午 9:54:42	505.26	665.57	10	1.5^9X
2020/4/21 上午 9:54:43	543.52	711.74	10	1.5^9X
2020/4/21 上午 9:54:44	542.53	710.26	10	1.5^9X
2020/4/21 上午 9:54:45	545	712.72	11	1.5^9X
2020/4/21 上午 9:54:46	598.67	773.8	11	1.5^9X
2020/4/21 上午 9:54:47	599.66	786.24	12	1.5^9X
2020/4/21 上午 9:54:48	654.77	855.76	12	1.5^9X
2020/4/21 上午 9:54:49	651.8	853.79	12	1.5^9X
2020/4/21 上午 9:54:50	653.28	853.29	12	1.5^9X
2020/4/21 上午 9:54:51	653.28	857.24	13	1.5^9X
2020/4/21 上午 9:54:52	709.92	930.27	14	1.5^9X
2020/4/21 上午 9:54:53	714.41	957.63	14	1.5^9X
2020/4/21 上午 9:54:54	762.6	999.29	15	1.5^9X
2020/4/21 上午 9:54:55	810.79	1074.29	15	1.5^9X
2020/4/21 上午 9:54:56	817.75	1073.8	15	1.5^9X
2020/4/21 上午 9:54:57	817.26	1074.29	16	1.5^9X
2020/4/21 上午 9:54:58	874.39	1146.33	16	1.5^9X
2020/4/21 上午 9:54:59	874.39	1142.88	17	1.5^9X
2020/4/21 上午 9:55:00	927.52	1213.88	17	1.5^9X
2020/4/21 上午 9:55:01	927.52	1212.89	17	1.5^9X
2020/4/21 上午 9:55:02	929.54	1218.37	18	1.5^9X
2020/4/21 上午 9:55:03	962.32	1290.36	18	1.5^9X
2020/4/21 上午 9:55:06	1036.83	1362.4	20	1.5^9X
2020/4/21 上午 9:55:07	1048.29	1404.61	20	1.5^9X
2020/4/21 上午 9:55:08	1094.45	1434.38	20	1.5^9X
2020/4/21 上午 9:55:09	982.17	1286.9	19	1.5^9X
2020/4/21 上午 9:55:09	982.67	1307.74	19	1.5^9X
2020/4/21 上午 9:55:09	1091.98	1430.44	20	1.5^9X
2020/4/21 上午 9:55:10	1091.49	1432.41	21	1.5^9X
2020/4/21 上午 9:55:11	1146.15	1506.42	21	1.5^9X
2020/4/21 上午 9:55:12	1149.6	1506.92	22	1.5^9X
2020/4/21 上午 9:55:13	1204.26	1578.46	22	1.5^9X
2020/4/21 上午 9:55:15	1201.79	1571.5	22	1.5^9X
2020/4/21 上午 9:55:16	1200.31	1572.49	23	1.5^9X
2020/4/21 上午 9:55:17	1228.11	1590.36	23	1.5^9X
2020/4/21 上午 9:55:18	1256.4	1650.94	23	1.5^9X
2020/4/21 上午 9:55:30	1534.14	2007.58	28	1.5^9X
2020/4/21 上午 9:55:36	1420.38	1866.51	26	1.5^9X
2020/4/21 上午 9:55:36	1259.42	1650.94	24	1.5^9X
2020/4/21 上午 9:55:36	1369.67	1794.53	25	1.5^9X
2020/4/21 上午 9:55:37	1642.96	2149.63	31	1.5^9X
2020/4/21 上午 9:55:37	1476.02	1938.55	27	1.5^9X
2020/4/21 上午 9:55:37	1529.15	2003.08	28	1.5^9X
2020/4/21 上午 9:55:38	1304.1	1721.01	24	1.5^9X
2020/4/21 上午 9:55:38	1470.05	1926.6	27	1.5^9X
2020/4/21 上午 9:55:38	1366.71	1790.53	26	1.5^9X
2020/4/21 上午 9:55:38	1679.2	2219.64	31	1.5^9X
2020/4/21 上午 9:55:38	1533.65	2006.59	28	1.5^9X
2020/4/21 上午 9:55:38	1530.19	2006.1	29	1.5^9X
2020/4/21 上午 9:55:39	1589.29	2067.17	30	1.5^9X
2020/4/21 上午 9:55:40	1746.75	2297.66	32	1.5^9X
2020/4/21 上午 9:55:40	1345.33	1792.99	25	1.5^9X
2020/4/21 上午 9:55:40	1627.06	2155.11	30	1.5^9X
2020/4/21 上午 9:55:41	1754.7	2295.13	33	1.5^9X
2020/4/21 上午 9:55:43	1640.44	2155.6	30	1.5^9X
2020/4/21 上午 9:55:44	1636.49	2149.13	30	1.5^9X
2020/4/21 上午 9:55:44	1809.36	2371.12	33	1.5^9X
2020/4/21 上午 9:55:46	1859.57	2443.16	34	1.5^9X
2020/4/21 上午 9:55:48	1914.18	2478.91	35	1.5^9X
2020/4/21 上午 9:55:49	1915.17	2513.23	35	1.5^9X
2020/4/21 上午 9:55:50	1311.56	1721.5	25	1.5^9X
2020/4/21 上午 9:55:50	1919.66	2515.69	35	1.5^9X
2020/4/21 上午 9:55:58	1699.1	2227.59	32	1.5^9X
2020/4/21 上午 9:56:00	1805.41	2358.73	33	1.5^9X
2020/4/21 上午 9:56:00	1804.91	2365.69	33	1.5^9X
2020/4/21 上午 9:56:01	1809.85	2370.13	34	1.5^9X
2020/4/21 上午 9:56:01	1860.07	2443.65	35	1.5^9X
2020/4/21 上午 9:56:03	1919.17	2515.2	35	1.5^9X
2020/4/21 上午 9:56:18	1919.17	2515.2	35	1.5^9X
2020/4/21 上午 9:56:19	1914.18	2508.24	35	1.5^9X
2020/4/21 上午 9:56:20	1914.68	2509.22	35	1.5^9X
2020/4/21 上午 9:56:21	1915.17	2515.69	36	1.5^9X
2020/4/21 上午 9:56:22	1974.32	2587.68	36	1.5^9X
2020/4/21 上午 9:56:23	1973.33	2587.68	37	1.5^9X
2020/4/21 上午 9:56:24	2026.95	2659.72	37	1.5^9X
2020/4/21 上午 9:56:25	2028.48	2655.72	37	1.5^9X
2020/4/21 上午 9:56:26	2024.49	2656.26	38	1.5^9X
2020/4/21 上午 9:56:27	2079.14	2731.26	38	1.5^9X
2020/4/21 上午 9:56:28	2083.64	2731.76	38	1.5^9X
2020/4/21 上午 9:56:29	2079.64	2730.72	38	1.5^9X
2020/4/21 上午 9:56:30	2079.14	2724.3	39	1.5^9X
2020/4/21 上午 9:56:31	2121.36	2796.29	39	1.5^9X
2020/4/21 上午 9:56:32	2134.3	2803.25	40	1.5^9X
2020/4/21 上午 9:56:33	2165.11	2874.8	40	1.5^9X
2020/4/21 上午 9:56:34	2194.39	2870.79	40	1.5^9X
2020/4/21 上午 9:56:35	2193.4	2867.83	40	1.5^9X
2020/4/21 上午 9:56:36	2188.46	2875.78	41	1.5^9X
2020/4/21 上午 9:56:37	2243.56	2947.77	42	1.5^9X
2020/4/21 上午 9:56:38	2277.39	2948.26	42	1.5^9X
2020/4/21 上午 9:56:39	2298.22	3016.85	43	1.5^9X
2020/4/21 上午 9:56:40	2358.85	3087.35	43	1.5^9X
2020/4/21 上午 9:56:41	2354.86	3084.39	44	1.5^9X
2020/4/21 上午 9:56:42	2405.02	3151.44	44	1.5^9X
2020/4/21 上午 9:56:43	2408.03	3162.85	45	1.5^9X
2020/4/21 上午 9:56:44	2469.11	3235.87	45	1.5^9X
2020/4/21 上午 9:56:45	2467.13	3225.46	46	1.5^9X
2020/4/21 上午 9:56:46	2465.65	3240.86	46	1.5^9X
2020/4/21 上午 9:56:47	2522.29	3305.39	47	1.5^9X
2020/4/21 上午 9:56:48	2578.92	3379.9	48	1.5^9X
2020/4/21 上午 9:56:49	2627.11	3452.92	48	1.5^9X
2020/4/21 上午 9:56:50	2621.68	3435.05	48	1.5^9X
2020/4/21 上午 9:56:51	2633.58	3443.49	48	1.5^9X
2020/4/21 上午 9:56:52	2633.58	3452.43	49	1.5^9X
2020/4/21 上午 9:56:53	2627.6	3455.39	49	1.5^9X
2020/4/21 上午 9:56:54	2683.74	3524.42	50	1.5^9X
2020/4/21 上午 9:56:55	2715.05	3567.12	50	1.5^9X
2020/4/21 上午 9:56:56	2737.91	3590.48	51	1.5^9X
2020/4/21 上午 9:56:57	2793.55	3649.58	52	1.5^9X
2020/4/21 上午 9:56:58	2801.01	3669.98	52	1.5^9X
2020/4/21 上午 9:56:59	2846.73	3742.45	53	1.5^9X
2020/4/21 上午 9:57:00	2846.73	3759.83	53	1.5^9X
2020/4/21 上午 9:57:01	2909.29	3805.06	53	1.5^9X
2020/4/21 上午 9:57:02	2902.33	3799.09	54	1.5^9X
2020/4/21 上午 9:57:03	2945.09	3827.43	55	1.5^9X
2020/4/21 上午 9:57:04	2959.5	3885	55	1.5^9X
2020/4/21 上午 9:57:06	3010.66	3946.62	56	1.5^9X
2020/4/21 上午 9:57:06	3062.8	3988.84	56	1.5^9X
2020/4/21 上午 9:57:08	3067.29	4011.21	56	1.5^9X
2020/4/21 上午 9:57:08	3072.28	4027.11	57	1.5^9X
2020/4/21 上午 9:57:09	3119.97	4064.82	58	1.5^9X
2020/4/21 上午 9:57:10	3120.47	4091.63	58	1.5^9X
2020/4/21 上午 9:57:11	3177.1	4166.63	58	1.5^9X
2020/4/21 上午 9:57:12	3175.62	4171.13	59	1.5^9X
2020/4/21 上午 9:57:14	3255.56	4241.64	60	1.5^9X
2020/4/21 上午 9:57:15	3292.84	4309.18	61	1.5^9X
2020/4/21 上午 9:57:16	3339.55	4389.17	61	1.5^9X
2020/4/21 上午 9:57:17	3332.09	4384.67	61	1.5^9X
2020/4/21 上午 9:57:18	3382.26	4398.6	62	1.5^9X
2020/4/21 上午 9:57:19	3397.17	4466.14	63	1.5^9X
2020/4/21 上午 9:57:20	3456.27	4526.72	63	1.5^9X
2020/4/21 上午 9:57:21	3451.33	4521.79	63	1.5^9X
2020/4/21 上午 9:57:22	3484.61	4592.79	64	1.5^9X
2020/4/21 上午 9:57:23	3503.97	4605.23	65	1.5^9X
2020/4/21 上午 9:57:24	3567.56	4666.31	65	1.5^9X
2020/4/21 上午 9:57:25	3565.59	4664.83	66	1.5^9X
2020/4/21 上午 9:57:26	3617.28	4738.35	66	1.5^9X
2020/4/21 上午 9:57:27	3614.27	4741.8	67	1.5^9X
2020/4/21 上午 9:57:28	3644.59	4773.11	67	1.5^9X
2020/4/21 上午 9:57:29	3667.94	4815.82	68	1.5^9X
2020/4/21 上午 9:57:30	3732.03	4886.81	68	1.5^9X
2020/4/21 上午 9:57:31	3726.55	4877.38	68	1.5^9X
2020/4/21 上午 9:57:32	3722.6	4883.85	69	1.5^9X
2020/4/21 上午 9:57:33	3778.25	4964.83	70	1.5^9X
2020/4/21 上午 9:57:34	3836.36	5009.02	70	1.5^9X
2020/4/21 上午 9:57:35	3834.39	5037.8	70	1.5^9X
2020/4/21 上午 9:57:36	3841.3	5022.94	71	1.5^9X
2020/4/21 上午 9:57:37	3879.56	5085.01	71	1.5^9X
2020/4/21 上午 9:57:38	3896.94	5109.84	71	1.5^9X
2020/4/21 上午 9:57:39	3887.51	5111.32	72	1.5^9X
2020/4/21 上午 9:57:40	3901.93	5118.28	72	1.5^9X
2020/4/21 上午 9:57:41	3949.13	5170.42	73	1.5^9X
2020/4/21 上午 9:57:42	4002.76	5242.96	73	1.5^9X
2020/4/21 上午 9:57:43	4000.29	5255.35	73	1.5^9X
2020/4/21 上午 9:57:44	4003.79	5254.85	74	1.5^9X
2020/4/21 上午 9:57:45	4050.5	5318.94	75	1.5^9X
2020/4/21 上午 9:57:46	4089.71	5388.46	75	1.5^9X
2020/4/21 上午 9:57:47	4134.93	5397.4	76	1.5^9X
2020/4/21 上午 9:57:48	4169.69	5469.44	76	1.5^9X
2020/4/21 上午 9:57:49	4160.76	5452.55	76	1.5^9X
2020/4/21 上午 9:57:50	4163.77	5461.98	77	1.5^9X
2020/4/21 上午 9:57:51	4215.41	5531.99	77	1.5^9X
2020/4/21 上午 9:57:52	4217.39	5541.97	78	1.5^9X
2020/4/21 上午 9:57:53	4279.5	5611	79	1.5^9X
2020/4/21 上午 9:57:54	4288.93	5623.88	79	1.5^9X
2020/4/21 上午 9:57:55	4324.24	5680.51	79	1.5^9X
2020/4/21 上午 9:57:56	4314.76	5664.61	80	1.5^9X
2020/4/21 上午 9:57:57	4386.3	5740.11	80	1.5^9X
2020/4/21 上午 9:57:58	4386.8	5759.52	81	1.5^9X
2020/4/21 上午 9:57:59	4427.53	5791.81	81	1.5^9X
2020/4/21 上午 9:58:00	4440.47	5820.1	81	1.5^9X
2020/4/21 上午 9:58:01	4442.89	5824.04	81	1.5^9X
2020/4/21 上午 9:58:02	4434.49	5825.53	82	1.5^9X
2020/4/21 上午 9:58:03	4434.49	5852.88	82	1.5^9X
2020/4/21 上午 9:58:04	4500.11	5905.02	83	1.5^9X
